elements_per_query,time execution,size_intersection
3,392.9,1830
3,1925.6,18215
3,195.7,126
5,300.7,60
3,322.8,572
2,309.9,1270
3,307.6,814
2,16576.3,725781
3,917,7865
3,5798.5,133505
3,739.1,2013
3,2419.1,18669
6,632.3,252
5,371.1,211
4,1134.9,7266
5,1951,9014
3,199,913
2,351.6,3221
3,318.6,1104
6,852.4,1972
2,842.8,6807
3,2289.3,33548
3,366,554
6,575.9,364
2,150.5,97
3,573.8,6251
4,8510.6,191475
6,1510.9,2825
4,949.4,6777
2,1982.5,27656
2,247,1037
4,1005.6,8322
3,284.1,719
2,2045.9,28275
5,407.9,53
5,667.6,910
2,3934.2,73065
4,2685.2,36137
4,1793.1,12664
3,4535.5,67769
3,2522.6,34945
4,486.5,1273
3,1573.8,13217
7,3316,18807
2,270.1,2975
2,185.1,266
4,1555.1,5788
2,938,7160
4,127.3,1
2,1437,26815
7,5737.8,45895
7,701.6,245
5,139.5,1
5,817,686
5,455.5,641
5,536.1,917
3,2182.5,34577
4,725.5,2639
2,239.1,1116
4,724.9,8097
3,5161.5,103027
3,135.7,61
4,3575.5,27070
3,700.2,5384
4,235.7,363
3,2659.2,37549
4,128.1,60
3,1272.1,12032
4,785,2405
5,3501.4,25536
4,302.8,71
3,245.7,357
2,182.1,863
3,9071.2,411802
4,495.5,664
5,5978.7,46502
2,492.8,5500
4,364.3,335
6,261.9,126
3,1982.8,23343
3,1774.5,17534
2,752.7,5763
3,604.3,2150
5,192.5,159
4,1768.8,6697
4,716.3,1766
4,1383.1,5386
3,727.3,2093
4,765.7,2613
3,442.5,13857
5,1731.6,7470
4,1395.1,5888
4,853.6,1073
2,488,3032
2,311.6,3048
3,462.9,5343
4,141.7,20
8,2908.6,7253
4,1692.9,6959
4,1830.8,10110
2,1178.4,20192
4,336,2884
4,784.7,763
2,341.2,1107
6,1446,3061
3,468.3,3527
4,488.9,917
5,309,555
4,361.9,814
5,635.7,827
3,509.4,524
3,282.9,104
3,1276.7,11926
3,769.2,2771
5,380.6,735
4,1945.6,61759
7,894.8,621
4,1411,12965
6,620.7,1270
2,868.7,11518
3,906.6,2305
4,796.8,7023
5,1715,7648
3,1557,13305
4,503.4,802
6,3067.7,12341
5,928,5397
